resale_price,registered_year,engine_capacity,kms_driven,owner_type,max_power,seats,mileage,transmission_type_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,body_type_Coupe,body_type_Hatchback,body_type_MUV,body_type_Pickup,body_type_SUV,body_type_Sedan,body_type_Wagon,brand_encoded,model_freq
545000,0.15087119516472836,-0.4787301312737432,-0.2873109041531315,1,-0.4657621750943652,-0.30964340420082415,0.48212468764835215,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.022410099021367768
1000000,0.42712977530466073,1.5905846323314976,0.17844494191977828,1,1.1180564146424328,2.687683920431482,-0.42421313408985195,False,True,False,False,False,False,False,True,False,False,False,False,741613.3946053946,0.0019109386762406625
450000,-0.40164596511513634,-0.4787301312737432,0.17844494191977828,2,-0.46486685650208875,-0.30964340420082415,0.35094421344940213,True,False,False,False,True,False,False,False,False,False,True,False,503753.382088303,0.033412473217904914
450000,-0.40164596511513634,-0.4787301312737432,0.17844494191977828,2,-0.46486685650208875,-0.30964340420082415,0.35094421344940213,True,False,False,False,True,False,False,False,False,False,True,False,503753.382088303,0.033412473217904914
160000,-2.0591974459547306,-0.7126343458971461,0.3336968906107482,1,-0.8026257954383279,-0.30964340420082415,0.10289386223684019,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.011002374196537148
470000,-0.40164596511513634,-0.4787301312737432,0.17844494191977828,1,-0.4935170514549308,-0.30964340420082415,-0.5220022148563425,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.0024321037697608433
360000,0.15087119516472836,-0.7948169077918553,0.9547046853746279,1,-0.7813619788717654,-0.30964340420082415,1.8845632118116802,True,True,False,False,False,False,True,False,False,False,False,False,741613.3946053946,0.012044704383577508
200000,-1.7829388658147982,-0.7126343458971461,0.02319299322880837,2,-0.8026257954383279,-0.30964340420082415,0.10289386223684019,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.011002374196537148
370000,-0.125387384975204,-0.4808373764505306,-0.5978148015350713,1,-0.6918301196441341,2.687683920431482,-0.9560903294783253,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.0005211650935201807
120000,-2.0591974459547306,-0.7126343458971461,-0.4425628528441014,1,-0.9380427325201202,-0.30964340420082415,-0.09029919976525053,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.005211650935201807
330000,-0.6779045452550687,-0.4766228860969558,0.17844494191977828,1,-0.38518350178949684,-0.30964340420082415,-0.3288091528542518,True,False,False,False,True,False,False,False,False,False,True,False,604735.8242865137,0.000579072326133534
475000,0.42712977530466073,-0.4787301312737432,0.02319299322880837,2,-0.4935170514549308,-0.30964340420082415,0.18160214675621106,True,False,False,False,True,False,False,False,False,False,True,False,596259.8822539949,0.007296311309282529
686000,0.9796469355845254,0.0796898405749216,-0.13205895546216156,3,-0.014745434235172444,-0.30964340420082415,0.5202862801425924,True,False,False,False,True,False,False,False,False,False,True,False,503753.382088303,0.00034744339568012046
1250000,1.2559055157244579,0.14501444105533143,0.02319299322880837,1,-0.11882622058729395,-0.30964340420082415,1.0306975797530553,True,True,False,False,False,False,False,False,False,True,False,False,596259.8822539949,0.006543517285308935
1100000,1.2559055157244579,-0.05938834109304775,0.02319299322880837,1,-0.3337026827336089,-0.30964340420082415,1.0306975797530553,True,True,False,False,False,False,False,False,False,True,False,False,596259.8822539949,0.006543517285308935
395000,0.7033883554445931,-0.8980719214544386,-0.5978148015350713,1,-0.8238896120048903,-0.30964340420082415,1.0903250680253056,False,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.009438878915976605
350000,-0.125387384975204,-0.8980719214544386,-0.2873109041531315,1,-1.0239933173786462,-0.30964340420082415,1.7223764437111595,True,False,False,False,False,False,True,False,False,False,False,False,503753.382088303,0.03873993861833343
289000,-1.5066802856748658,0.15133617658569368,-0.13205895546216156,2,-0.3404175721756812,-0.30964340420082415,-0.42421313408985195,True,False,False,False,True,False,False,False,False,False,True,False,1323925.242816092,0.001563495280560542
282000,-1.5066802856748658,-0.126820186750245,1.4204605314475376,1,-0.37399201938604293,-0.30964340420082415,0.4892799862410225,True,True,False,False,False,False,False,False,False,False,True,False,1323925.242816092,5.790723261335341e-05
1000000,1.2559055157244579,-0.8980719214544386,-0.7530667502260412,1,0.32346116399720476,-0.30964340420082415,-0.2811071622364517,True,False,False,False,True,False,False,False,False,True,False,False,1491966.6333333333,0.003069083328507731
785000,0.9796469355845254,0.0796898405749216,-0.4425628528441014,2,-0.014745434235172444,-0.30964340420082415,0.30324222283160124,True,False,False,False,True,False,False,False,False,False,True,False,503753.382088303,0.0024321037697608433
300000,-0.6779045452550687,0.1555506669392685,1.4204605314475376,3,-0.31490099229580626,-0.30964340420082415,0.792187626664054,True,True,False,False,False,False,False,False,False,True,False,False,766432.6854545454,0.01783542764491285
397000,-1.5066802856748658,1.9719960093300197,0.3336968906107482,2,1.4793174666259248,-0.30964340420082415,-1.92682583855056,False,False,False,False,True,False,False,False,False,True,False,False,753319.88,0.00023162893045341364
375000,-0.40164596511513634,-0.3712606272575851,-0.5978148015350713,1,-0.6694471548372263,-0.30964340420082415,1.719991344180269,True,True,False,False,False,False,False,False,False,False,True,False,503753.382088303,0.033412473217904914
100000,-1.5066802856748658,-0.8980719214544386,0.9547046853746279,3,-0.8238896120048903,-0.30964340420082415,0.3676399101656323,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.009438878915976605
397000,-1.5066802856748658,1.9719960093300197,0.3336968906107482,2,1.4793174666259248,-0.30964340420082415,-1.92682583855056,False,False,False,False,True,False,False,False,False,True,False,False,753319.88,0.00023162893045341364
675000,1.2559055157244579,-0.4787301312737432,-0.2873109041531315,1,-0.4948600293433453,-0.30964340420082415,0.38910580594364236,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.0037639701198679716
465000,0.42712977530466073,-0.4787301312737432,0.02319299322880837,2,-0.4935170514549308,-0.30964340420082415,0.18160214675621106,True,False,False,False,True,False,False,False,False,False,True,False,596259.8822539949,0.007296311309282529
480000,-0.40164596511513634,-0.4787301312737432,0.3336968906107482,2,-0.46486685650208875,-0.30964340420082415,0.35094421344940213,True,False,False,False,True,False,False,False,False,False,True,False,503753.382088303,0.033412473217904914
225000,-0.6779045452550687,-1.3237354471654963,0.6442007879926881,1,-1.2670723151816652,-0.30964340420082415,0.8017280247876138,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.017603798714459436
320000,-0.125387384975204,-0.8980719214544386,0.17844494191977828,2,-0.8252325898933046,-0.30964340420082415,0.26985082939914173,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.03873993861833343
415000,-0.40164596511513634,-0.4787301312737432,-0.4425628528441014,1,-0.4903834363819637,-0.30964340420082415,-0.11415019507415099,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.00781747640280271
240000,-1.2304217055349334,-0.3712606272575851,0.9547046853746279,3,-0.6694471548372263,-0.30964340420082415,0.8398896172818541,True,True,False,False,False,False,True,False,False,False,False,False,503753.382088303,0.03810295905958654
350000,-0.954163125395001,1.5905846323314976,0.6442007879926881,3,0.8078285224186901,2.687683920431482,-1.0204880168123556,True,True,False,False,False,False,False,False,False,True,False,False,969896.0575719649,0.001968845908854016
350000,-0.954163125395001,1.5905846323314976,0.6442007879926881,3,0.8078285224186901,2.687683920431482,-1.0204880168123556,True,True,False,False,False,False,False,False,False,True,False,False,969896.0575719649,0.001968845908854016
296000,-0.954163125395001,1.5905846323314976,0.4889488393017181,2,0.7653008892855651,2.687683920431482,-1.86242815121653,True,True,False,False,False,False,False,False,False,True,False,False,741613.3946053946,0.003126990561121084
296000,-0.954163125395001,1.5905846323314976,0.4889488393017181,2,0.7653008892855651,2.687683920431482,-1.86242815121653,True,True,False,False,False,False,False,False,False,True,False,False,741613.3946053946,0.003126990561121084
316000,0.42712977530466073,-0.47451564092016835,0.6442007879926881,1,-0.44561750676814804,-0.30964340420082415,1.0640889731855157,True,False,False,False,True,False,True,False,False,False,False,False,741613.3946053946,0.012044704383577508
750000,0.15087119516472836,-0.3712606272575851,0.6442007879926881,2,-0.34489416513706284,-0.30964340420082415,1.1738035516064564,True,True,False,False,False,False,False,False,False,True,False,False,503753.382088303,0.013839828594591465
900000,0.7033883554445931,-0.3712606272575851,0.9547046853746279,1,-0.34489416513706284,2.687683920431482,1.4528601967205874,True,True,False,False,False,False,False,True,False,False,False,False,503753.382088303,0.010423301870403613
560000,1.53216409586439,-0.8980719214544386,-0.7530667502260412,1,-0.8550019330864922,-0.30964340420082415,1.398002907510117,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.015750767270832126
800000,0.15087119516472836,-0.3712606272575851,1.4204605314475376,1,-0.34489416513706284,-0.30964340420082415,1.1738035516064564,True,True,False,False,False,False,False,False,False,True,False,False,503753.382088303,0.013839828594591465
